nroEj;ClaseImagen;ClaseInferida;Tiempo;Confianza;Correcto;;Metricas
 1 ;  9 ;  9 ; N/A ; 1.00;SI;;
 2 ; 26 ; 26 ; N/A ; 0.97;SI;;
 3 ; 33 ; 33 ; N/A ; 1.00;SI;;
 4 ; 14 ; 14 ; N/A ; 0.99;SI;;
 5 ; 11 ; 27 ; N/A ; 0.46;NO;;
 6 ;  3 ;  3 ; N/A ; 0.99;SI;;
 7 ; 12 ; 12 ; N/A ; 0.92;SI;;
 8 ; 16 ; 16 ; N/A ; 1.00;SI;;
 9 ;  7 ;  7 ; N/A ; 0.97;SI;;
10 ;  2 ;  2 ; N/A ; 0.86;SI;;
11 ; 16 ; 16 ; N/A ; 1.00;SI;;
12 ; 16 ; 16 ; N/A ; 1.00;SI;;
13 ; 27 ; 27 ; N/A ; 1.00;SI;;
14 ;  6 ;  6 ; N/A ; 0.98;SI;;
15 ; 28 ; 28 ; N/A ; 0.95;SI;;
16 ; 29 ; 29 ; N/A ; 0.98;SI;;
17 ;  8 ;  8 ; N/A ; 1.00;SI;;
18 ;  4 ;  4 ; N/A ; 0.97;SI;;
19 ; 35 ; 35 ; N/A ; 0.84;SI;;
20 ; 33 ; 33 ; N/A ; 1.00;SI;;
21 ; 16 ;  9 ; N/A ; 0.95;NO;;
22 ; 12 ; 12 ; N/A ; 1.00;SI;;
23 ; 21 ; 21 ; N/A ; 0.99;SI;;
24 ; 28 ; 28 ; N/A ; 0.99;SI;;
25 ; 12 ; 12 ; N/A ; 1.00;SI;;
26 ; 20 ; 20 ; N/A ; 0.91;SI;;
27 ; 26 ; 26 ; N/A ; 1.00;SI;;
28 ; 12 ; 12 ; N/A ; 0.99;SI;;
29 ;  1 ;  1 ; N/A ; 0.66;SI;;
30 ; 23 ; 23 ; N/A ; 1.00;SI;;
31 ;  3 ;  3 ; N/A ; 1.00;SI;;
32 ;  5 ;  5 ; N/A ; 0.59;SI;;
33 ; 25 ; 25 ; N/A ; 0.84;SI;;
34 ;  1 ;  1 ; N/A ; 0.52;SI;;
35 ; 14 ; 14 ; N/A ; 1.00;SI;;
36 ;  6 ;  6 ; N/A ; 0.60;SI;;
37 ; 31 ; 31 ; N/A ; 0.97;SI;;
38 ; 21 ; 21 ; N/A ; 0.95;SI;;
39 ; 26 ; 26 ; N/A ; 0.85;SI;;
40 ; 17 ; 17 ; N/A ; 0.99;SI;;
41 ; 28 ; 28 ; N/A ; 0.98;SI;;
42 ; 34 ; 34 ; N/A ; 1.00;SI;;
43 ; 35 ; 35 ; N/A ; 1.00;SI;;
44 ;  0 ;  0 ; N/A ; 0.65;SI;;
45 ; 33 ; 33 ; N/A ; 1.00;SI;;
46 ; 16 ; 16 ; N/A ; 0.63;SI;;
47 ; 33 ; 33 ; N/A ; 1.00;SI;;
48 ;  2 ;  2 ; N/A ; 0.99;SI;;
49 ;  3 ;  3 ; N/A ; 1.00;SI;;
50 ; 18 ; 18 ; N/A ; 0.57;SI;;
